iter	Logloss
0	0.6843220177
1	0.6756301837
2	0.6672771863
3	0.6591597075
4	0.6511818214
5	0.6433872773
6	0.6358176443
7	0.6282695615
8	0.6209815548
9	0.6139457863
10	0.6070922645
11	0.6003472789
12	0.593770723
13	0.5872349299
14	0.580970092
15	0.57475848
16	0.5688308937
17	0.562940479
18	0.5572720771
19	0.5515849987
20	0.546191732
21	0.540920626
22	0.5357640977
23	0.5306461257
24	0.5257893093
25	0.5208933463
26	0.5162057328
27	0.5116347724
28	0.507082584
29	0.5027565684
30	0.4984541874
31	0.4942686335
32	0.4901547992
33	0.4861468775
34	0.4822985236
35	0.4785547407
36	0.4748008356
37	0.4711616591
38	0.4677012056
39	0.4642625917
40	0.4609600492
41	0.4575980371
42	0.4544107061
43	0.4513224546
44	0.4482994535
45	0.4453521707
46	0.4424949228
47	0.439673769
48	0.4369441668
49	0.4342591893
50	0.4315253901
51	0.4290079628
52	0.4265170435
53	0.4240436967
54	0.4216627169
55	0.4192753917
56	0.4169631762
57	0.4146070629
58	0.4123056649
59	0.4100568118
60	0.4079467855
61	0.4058166975
62	0.4037837242
63	0.4018637378
64	0.3998998421
65	0.3980187872
66	0.3961339778
67	0.3942226255
68	0.3923265578
69	0.3905921801
70	0.3887981703
71	0.3871524541
72	0.3854532345
73	0.3839284675
74	0.3824999116
75	0.3809483178
76	0.3794344424
77	0.377950286
78	0.3765869614
79	0.3752169901
80	0.3739560788
81	0.3726200824
82	0.3713108241
83	0.3700342644
84	0.3688547072
85	0.367581132
86	0.3663355135
87	0.3651956225
88	0.3640868268
89	0.362903955
90	0.3617702345
91	0.3606728099
92	0.3595951651
93	0.3585815452
94	0.3576056838
95	0.3566342039
96	0.3557055741
97	0.3547098579
98	0.3537484449
99	0.352796178
100	0.3519545292
101	0.351089121
102	0.3502181951
103	0.3492706274
104	0.3484991496
105	0.3476957767
106	0.346928426
107	0.3461312862
108	0.3453069141
109	0.3445058642
110	0.3437431296
111	0.3430122907
112	0.3423102555
113	0.3416032
114	0.3409525713
115	0.3402709628
116	0.3396665614
117	0.3390149899
118	0.3383525114
119	0.3377030729
120	0.3370374146
121	0.3364819381
122	0.3358901537
123	0.3353052639
124	0.3347700584
125	0.3342490594
126	0.3336846443
127	0.3331267542
128	0.3325746825
129	0.3320449837
130	0.3315357436
131	0.3310107824
132	0.330532785
133	0.3300366755
134	0.329560608
135	0.3290598535
136	0.3285784596
137	0.3281117093
138	0.3276742986
139	0.3272342148
140	0.3267667847
141	0.326329153
142	0.3258747248
143	0.3254513574
144	0.3250651958
145	0.3246799783
146	0.324279115
147	0.3238715407
148	0.3234896662
149	0.3231049387
150	0.3227396604
151	0.322384714
152	0.3220195675
153	0.3216654972
154	0.3213034299
155	0.3209518537
